Event	ID	Name			Wwise Object Path	Notes
	652591751	AMB_UnrealHolograph_FadeIn			\Ambience\Emitters\Highrise\Static\UnrealHolograph\AMB_UnrealHolograph_FadeIn	
	1040217121	AMB_Highrise_Spawn			\Ambience\Rooms\Highrise\Indoors\AMB_Highrise_Spawn	
	1196422761	AMB_PhoneBox			\Ambience\Emitters\Highrise\Static\AMB_PhoneBox	
	1571611116	AMB_WindGusts_Spline			\Ambience\Emitters\Highrise\Dynamic\AMB_WindGusts_Spline	
	1699197345	AMB_StreetLamp			\Ambience\Emitters\Highrise\Static\AMB_StreetLamp	
	2038711805	AMB_Highrise_Room			\Ambience\Rooms\Highrise\Indoors\AMB_Highrise_Room	
	2448096698	AMB_Highrise_Atrium			\Ambience\Rooms\Highrise\Outdoors\AMB_Highrise_Atrium	
	2759038044	AMB_UnrealSign			\Ambience\Emitters\Highrise\Static\AMB_UnrealSign	
	2992962930	AMB_BarrierFence			\Ambience\Emitters\Highrise\Dynamic\AMB_BarrierFence	
	3641000233	AMB_UnrealHolograph			\Ambience\Emitters\Highrise\Static\UnrealHolograph\AMB_UnrealHolograph	
	3686232698	AMB_UnrealHolograph_FadeOut			\Ambience\Emitters\Highrise\Static\UnrealHolograph\AMB_UnrealHolograph_FadeOut	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	16287048	AMB_Highrise_Atrium_LP	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_Rooms_Atrium_25FFC62C.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Rooms\Highrise\Outdoors\AMB_Highrise_Atrium\AMB_Highrise_Atrium_LP		4992144
	88913986	AMB_StreetLamp_Buzz_OS_2	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_StreetLamp_Buzz_OS_2_10C4C929.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Emitters\Highrise\Static\AMB_StreetLamp\AMB_StreetLamp_Buzz_OS\AMB_StreetLamp_Buzz_OS_2		264096
	91730085	AMB_StreetLamp_Buzz_OS_4	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_StreetLamp_Buzz_OS_4_10C4C929.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Emitters\Highrise\Static\AMB_StreetLamp\AMB_StreetLamp_Buzz_OS\AMB_StreetLamp_Buzz_OS_4		168096
	175461088	AMB_StreetLamp_Hum_LP	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_StreetLamp_Hum_LP_F2673BE7.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Emitters\Highrise\Static\AMB_StreetLamp\AMB_StreetLamp_Hum_LP		1899764
	202292048	AMB_StreetLamp_Buzz_OS_5	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_StreetLamp_Buzz_OS_5_10C4C929.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Emitters\Highrise\Static\AMB_StreetLamp\AMB_StreetLamp_Buzz_OS\AMB_StreetLamp_Buzz_OS_5		192096
	218188666	AMB_UnrealSign_LP	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\Emitters_UnrealSign_1B9F70D9.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Emitters\Highrise\Static\AMB_UnrealSign\AMB_UnrealSign_LP		1504896
	229272092	AMB_Rooms_Spawn_LP	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_Rooms_Spawn_25FFC62C.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Rooms\Highrise\Indoors\AMB_Highrise_Spawn\AMB_Rooms_Spawn_LP		4992144
	247336745	AMB_StreetLamp_Buzz_OS_1	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_StreetLamp_Buzz_OS_1_10C4C929.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Emitters\Highrise\Static\AMB_StreetLamp\AMB_StreetLamp_Buzz_OS\AMB_StreetLamp_Buzz_OS_1		165856
	288927093	AMB_Highrise_Room_LP	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_Rooms_Room_25FFC62C.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Rooms\Highrise\Indoors\AMB_Highrise_Room\AMB_Highrise_Room_LP		4992144
	321294528	AMB_StreetLamp_Buzz_OS_3	C:\Users\Chord Shore\Documents\Unreal Projects\ShooterGame\ShooterGame_WwiseProject\.cache\Windows\SFX\AMB_StreetLamp_Buzz_OS_3_10C4C929.wem		\Actor-Mixer Hierarchy\Ambience\AMB_Emitters\Highrise\Static\AMB_StreetLamp\AMB_StreetLamp_Buzz_OS\AMB_StreetLamp_Buzz_OS_3		240096
